x,f(x),f'(x)
-3.11,0.0426966,0.0408738
-3.1,0.0431073,0.0412492
-3.09,0.0435216,0.0416277
-3.08,0.0439398,0.0420093
-3.07,0.0443618,0.042394
-3.06,0.0447877,0.042782
-3.05,0.0452175,0.043173
-3.04,0.0456512,0.0435673
-3.03,0.0460888,0.0439648
-3.02,0.0465305,0.0443656
-3.01,0.0469761,0.0447696
-3,0.0474259,0.0451769
-2.99,0.0478797,0.0455874
-2.98,0.0483376,0.0460013
-2.97,0.0487997,0.0464185
-2.96,0.049266,0.0468391
-2.95,0.0497365,0.047263
-2.94,0.0502113,0.0476903
-2.93,0.0506903,0.048121
-2.92,0.0511737,0.0485552
-2.91,0.0516614,0.0489928
-2.9,0.0521536,0.0494338
-2.89,0.0526501,0.0498783
-2.88,0.0531511,0.0503263
-2.87,0.0536567,0.0507778
-2.86,0.0541667,0.0512329
-2.85,0.0546813,0.0516915
-2.84,0.0552005,0.0521537
-2.83,0.0557244,0.0526194
-2.82,0.0562529,0.0530888
-2.81,0.0567862,0.0535617
-2.8,0.0573242,0.0540384
-2.79,0.057867,0.0545186
-2.78,0.0584146,0.0550025
-2.77,0.058967,0.0554901
-2.76,0.0595244,0.0559815
-2.75,0.0600867,0.0564765
-2.74,0.0606539,0.0569753
-2.73,0.0612262,0.0574778
-2.72,0.0618035,0.0579841
-2.71,0.0623859,0.0584941
-2.7,0.0629734,0.059008
-2.69,0.063566,0.0595256
-2.68,0.0641639,0.0600471
-2.67,0.064767,0.0605725
-2.66,0.0653753,0.0611017
-2.65,0.065989,0.0616347
-2.64,0.066608,0.0621717
-2.63,0.0672325,0.0627125
-2.62,0.0678623,0.0632573
-2.61,0.0684976,0.063806
-2.6,0.0691384,0.0643586
-2.59,0.0697848,0.0649151
-2.58,0.0704367,0.0654757
-2.57,0.0710943,0.0660402
-2.56,0.0717575,0.0666087
-2.55,0.0724265,0.0671812
-2.54,0.0731012,0.0677577
-2.53,0.0737816,0.0683382
-2.52,0.0744679,0.0689228
-2.51,0.0751601,0.0695114
-2.5,0.0758582,0.070104
-2.49,0.0765622,0.0707007
-2.48,0.0772722,0.0713015
-2.47,0.0779882,0.0719064
-2.46,0.0787103,0.0725153
-2.45,0.0794385,0.0731284
-2.44,0.0801729,0.0737455
-2.43,0.0809135,0.0743668
-2.42,0.0816603,0.0749922
-2.41,0.0824133,0.0756217
-2.4,0.0831727,0.0762553
-2.39,0.0839384,0.0768931
-2.38,0.0847106,0.077535
-2.37,0.0854891,0.0781811
-2.36,0.0862742,0.0788313
-2.35,0.0870658,0.0794857
-2.34,0.0878639,0.0801442
-2.33,0.0886687,0.0808069
-2.32,0.0894801,0.0814737
-2.31,0.0902981,0.0821447
-2.3,0.091123,0.0828199
-2.29,0.0919545,0.0834993
-2.28,0.092793,0.0841828
-2.27,0.0936382,0.0848704
-2.26,0.0944904,0.0855623
-2.25,0.0953495,0.0862583
-2.24,0.0962155,0.0869585
-2.23,0.0970886,0.0876628
-2.22,0.0979688,0.0883713
-2.21,0.0988561,0.0890839
-2.2,0.0997505,0.0898007
-2.19,0.100652,0.0905216
-2.18,0.101561,0.0912467
-2.17,0.102477,0.0919759
-2.16,0.1034,0.0927092
-2.15,0.104331,0.0934466
-2.14,0.105269,0.0941881
-2.13,0.106215,0.0949337
-2.12,0.107168,0.0956835
-2.11,0.108129,0.0964372
-2.1,0.109097,0.0971951
-2.09,0.110073,0.097957
-2.08,0.111056,0.0987229
-2.07,0.112047,0.0994929
-2.06,0.113046,0.100267
-2.05,0.114052,0.101045
-2.04,0.115067,0.101827
-2.03,0.116089,0.102613
-2.02,0.117119,0.103403
-2.01,0.118157,0.104196
-2,0.119203,0.104994
-1.99,0.120257,0.105796
-1.98,0.121319,0.106601
-1.97,0.122389,0.10741
-1.96,0.123467,0.108223
-1.95,0.124553,0.10904
-1.94,0.125648,0.109861
-1.93,0.126751,0.110685
-1.92,0.127862,0.111513
-1.91,0.128981,0.112345
-1.9,0.130108,0.113181
-1.89,0.131244,0.11402
-1.88,0.132389,0.114862
-1.87,0.133542,0.115709
-1.86,0.134703,0.116559
-1.85,0.135873,0.117412
-1.84,0.137051,0.118269
-1.83,0.138238,0.119129
-1.82,0.139434,0.119993
-1.81,0.140638,0.120859
-1.8,0.141851,0.12173
-1.79,0.143073,0.122603
-1.78,0.144303,0.12348
-1.77,0.145542,0.12436
-1.76,0.14679,0.125243
-1.75,0.148047,0.12613
-1.74,0.149313,0.127019
-1.73,0.150588,0.127911
-1.72,0.151871,0.128807
-1.71,0.153164,0.129705
-1.7,0.154465,0.130606
-1.69,0.155776,0.13151
-1.68,0.157095,0.132417
-1.67,0.158424,0.133326
-1.66,0.159762,0.134239
-1.65,0.161109,0.135153
-1.64,0.162465,0.136071
-1.63,0.16383,0.13699
-1.62,0.165205,0.137913
-1.61,0.166589,0.138837
-1.6,0.167982,0.139764
-1.59,0.169384,0.140693
-1.58,0.170795,0.141625
-1.57,0.172216,0.142558
-1.56,0.173647,0.143494
-1.55,0.175086,0.144432
-1.54,0.176535,0.145371
-1.53,0.177994,0.146312
-1.52,0.179462,0.147256
-1.51,0.180939,0.1482
-1.5,0.182426,0.149147
-1.49,0.183922,0.150095
-1.48,0.185427,0.151045
-1.47,0.186943,0.151996
-1.46,0.188467,0.152948
-1.45,0.190002,0.153901
-1.44,0.191545,0.154856
-1.43,0.193099,0.155812
-1.42,0.194662,0.156769
-1.41,0.196234,0.157727
